2023-01-10 21:39:40 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> css selector: input.btn]
2023-01-10 21:39:41 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> css selector: input.btn]
2023-01-10 21:39:41 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:39:41 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:39:41 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:41 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (3a190bfdde605920f7449cfa0ee5a0f0)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:41 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-10 21:39:53 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:56 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:39:56 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:56 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:39:56 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:56 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:39:56 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:39:56 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:39:56 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:56 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> xpath: //a[text()='Login']]
2023-01-10 21:39:56 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:39:56 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:39:56 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-10 21:39:56 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-10 21:39:56 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-10 21:39:56 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-10 21:39:56 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> css selector: input.btn]
2023-01-10 21:39:57 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> css selector: input.btn]
2023-01-10 21:39:57 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:39:57 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:39:57 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:57 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (069c2b74a08be7d000abe1e434448661)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:39:57 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-10 21:40:12 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:40:16 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:40:16 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:40:16 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:40:16 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (e697617d0c8862392df5ab2a4e0cd15b)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:40:16 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (e697617d0c8862392df5ab2a4e0cd15b)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:40:16 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:40:16 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:40:16 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (e697617d0c8862392df5ab2a4e0cd15b)] -> xpath: //a[text()='Login']]
